,year,avg_temp,MA10,MA25,avg_temp_f,MA10_F,MA25_F
104,1847,14.726979591836738,,,58.508563265306144,,
105,1848,14.862326530612247,,,58.75218775510205,,
106,1849,15.460661764705893,,,59.8291911764706,,
107,1850,15.914505119453933,,,60.64610921501707,,
108,1851,16.041099656357396,,,60.87397938144326,,
109,1852,15.47949820788529,,,59.86309677419354,,
110,1853,15.618303886925803,,,60.11294699646644,,
111,1854,15.8754895104895,,,60.575881118881185,,
112,1855,15.61553264604811,,,60.10795876288659,,
113,1856,16.165238095238102,,,61.09742857142859,,
114,1857,15.883047619047618,,,60.58948571428573,,
115,1858,15.714749163879604,20.330000000000002,,60.2865484949833,68.59400000000001,
116,1859,16.15890322580645,20.348000000000003,,61.08602580645158,68.6264,
117,1860,15.651333333333323,20.323,,60.1724,68.5814,
118,1861,15.83539735099339,20.351,,60.503715231788135,68.6318,
119,1862,15.217576791808865,20.346,,59.391638225255974,68.62280000000001,
120,1863,14.908104089219334,20.384999999999998,,58.83458736059478,68.69300000000001,
121,1864,14.862170818505323,20.415,,58.75190747330962,68.747,
122,1865,15.480281690140847,20.469,,59.86450704225351,68.8442,
123,1866,15.59131034482759,20.55,,60.06435862068967,68.99000000000001,
124,1867,15.442394366197185,20.671,,59.79630985915495,69.20779999999999,
125,1868,15.806305084745762,20.677,,60.45134915254241,69.2186,
126,1869,15.94612794612796,20.675,,60.70303030303034,69.215,
127,1870,15.953531353135324,20.714000000000002,,60.716356435643554,69.2852,
128,1871,15.628885135135134,20.708000000000002,,60.131993243243244,69.2744,
129,1872,15.846081081081074,20.71,,60.522945945945985,69.27799999999999,
130,1873,16.557414330218073,20.711000000000002,20.532000000000004,61.80334579439252,69.2798,68.9576
131,1874,16.5342367601246,20.729,20.5308,61.76162616822435,69.31219999999999,68.95544
132,1875,16.329251497005988,20.713,20.5292,61.3926526946108,69.2834,68.95255999999999
133,1876,16.603532934131735,20.677,20.526799999999998,61.886359281437095,69.2186,68.94824
134,1877,16.87389221556887,20.6,20.5308,62.37300598802395,69.08000000000001,68.95544000000001
135,1878,17.08440119760479,20.633000000000003,20.562399999999997,62.75192215568863,69.13940000000001,69.01232
136,1879,16.51516923076923,20.613999999999997,20.581599999999998,61.727304615384604,69.1052,69.04688
137,1880,16.644835820895498,20.578,20.5896,61.960704477611884,69.0404,69.06128
138,1881,16.74498525073748,20.57,20.6156,62.14097345132745,69.026,69.10808000000002
139,1882,16.70254437869821,20.546,20.6184,62.06457988165681,68.9828,69.11312
140,1883,16.496231454005944,20.497999999999998,20.5992,61.693216617210695,68.8964,69.07856
141,1884,16.40112426035504,20.473,20.5808,61.522023668639086,68.8514,69.04544
142,1885,16.385568862275452,20.487000000000002,20.5948,61.49402395209579,68.8766,69.07064
143,1886,16.50831360946744,20.477,20.5772,61.71496449704142,68.8586,69.03896
144,1887,16.56065088757395,20.399,20.552,61.809171597633146,68.7182,68.9936
145,1888,16.54340236686392,20.313,20.5336,61.77812426035495,68.5634,68.96048
146,1889,16.74712166172107,20.31,20.5396,62.144818991097935,68.558,68.97128000000001
147,1890,16.74469026548673,20.314999999999998,20.528,62.14044247787613,68.56700000000001,68.9504
148,1891,16.68064327485381,20.273,20.5048,62.02515789473685,68.4914,68.90864
149,1892,16.652280701754375,20.288,20.4652,61.97410526315791,68.5184,68.83736
150,1893,16.439269005847947,20.288,20.4436,61.59068421052637,68.51840000000001,68.79848
151,1894,16.81312865497077,20.295,20.428800000000003,62.263631578947404,68.531,68.77184
152,1895,16.667251461988307,20.291999999999998,20.426,62.001052631578915,68.52560000000001,68.7668
153,1896,16.942017543859645,20.366,20.4404,62.49563157894735,68.65880000000001,68.79272
154,1897,16.95008771929826,20.458999999999996,20.4516,62.51015789473686,68.8262,68.81288
155,1898,16.968567251461987,20.464999999999996,20.4352,62.54342105263159,68.83700000000002,68.78336
156,1899,17.047017543859642,20.431,20.4204,62.68463157894734,68.7758,68.75672
157,1900,17.13970760233918,20.473000000000003,20.432,62.85147368421052,68.8514,68.7776
158,1901,16.95017543859649,20.506999999999998,20.436799999999998,62.51031578947372,68.9126,68.78624
159,1902,16.94084795321637,20.525,20.4352,62.493526315789445,68.94500000000001,68.78336
160,1903,16.80409356725147,20.543,20.4076,62.24736842105263,68.9774,68.73368
161,1904,16.65649122807017,20.512,20.388,61.98168421052627,68.9216,68.6984
162,1905,16.73926900584796,20.522,20.403599999999997,62.13068421052633,68.9396,68.72648
163,1906,16.917134502923982,20.471,20.4008,62.45084210526316,68.84779999999999,68.72143999999999
164,1907,16.62219298245614,20.452,20.413999999999998,61.91994736842109,68.8136,68.74520000000001
165,1908,16.74599415204678,20.519,20.4436,62.142789473684196,68.9342,68.79848
166,1909,16.78201754385964,20.552,20.452,62.20763157894733,68.9936,68.81360000000001
167,1910,16.803859649122803,20.51,20.4412,62.24694736842102,68.91799999999999,68.79416
168,1911,16.875175438596482,20.55,20.465999999999998,62.375315789473696,68.99,68.8388
169,1912,16.752485380116944,20.515,20.4816,62.154473684210565,68.92699999999999,68.86688
170,1913,16.950233918128642,20.505,20.4844,62.51042105263163,68.909,68.87192
171,1914,17.127660818713448,20.539,20.4796,62.829789473684244,68.9702,68.86327999999999
